;ANO;CODUFMUN;POPULACAO
914;2021;522100;3506
915;2022;522100;4038
916;2019;522108;3458
917;2020;522108;3498
918;2021;522108;3538
919;2022;522108;2695
920;2019;522119;8043
921;2020;522119;8186
922;2021;522119;8326
923;2022;522119;7842
924;2019;522130;2833
925;2020;522130;2830
926;2021;522130;2830
927;2022;522130;2906
928;2019;522140;127599
929;2020;522140;129823
930;2021;522140;132006
931;2022;522140;149167
932;2019;522145;3500
933;2020;522145;3498
934;2021;522145;3497
935;2022;522145;3123
936;2019;522150;4598
937;2020;522150;4564
938;2021;522150;4526
939;2022;522150;4462
940;2019;522155;5281
941;2020;522155;5365
942;2021;522155;5447
943;2022;522155;4847
944;2019;522157;2854
945;2020;522157;2840
946;2021;522157;2829
947;2022;522157;3874
948;2019;522160;40532
949;2020;522160;40840
950;2021;522160;41150
951;2022;522160;43728
952;2019;522170;13843
953;2020;522170;13818
954;2021;522170;13795
955;2022;522170;13681
956;2019;522180;3072
957;2020;522180;3066
958;2021;522180;3056
959;2022;522180;3119
960;2019;522185;168468
961;2020;522185;172135
962;2021;522185;175720
963;2022;522185;196967
964;2019;522190;3827
965;2020;522190;3838
966;2021;522190;3848
967;2022;522190;3720
968;2019;522200;13863
969;2020;522200;13977
970;2021;522200;14088
971;2022;522200;14046
972;2019;522205;8743
973;2020;522205;8873
974;2021;522205;9002
975;2022;522205;8776
976;2019;522220;6171
977;2020;522220;6312
978;2021;522220;6451
979;2022;522220;3686
980;2019;522230;5821
981;2020;522230;5882
982;2021;522230;5941
983;2022;522230;5646
